Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","CL05B104KB54PNC","Capacitor SMD 0402","C1, C2, C5, C10, C12, C14, C15, C18, C19, C21, C28, C29, C30, C31, C32, C33, C34","","","17","","","","","","",""
"","CL05A106MQ5NUNC","Capacitor SMD 0402","C3, C4, C9, C11, C13, C16, C17, C20, C22, C27, C35","","","11","","","","","","",""
"","GRM158R61A226ME15D","Capacitor SMD 0402","C6, C7, C8, C23, C24, C25, C26","","","7","","","","","","",""
"","0402B223K500NT","Capacitor SMD 0402","C36","","","1","","","","","","",""
"","0402CG8R0C500NT","Capacitor SMD 0402","C37, C39","","","2","","","","","","",""
"","0402B682K500NT","Capacitor SMD 0402","C38, C40","","","2","","","","","","",""
"","CL05B103KB5NNNC","Capacitor SMD 0402","C41, C43","","","2","","","","","","",""
"","CL05A475MP5NRNC","Capacitor SMD 0402","C42","","","1","","","","","","",""
"","CC0402KRX7R0BB102","Capacitor SMD 0402 100V","C44","","","1","","","","","","",""
"","TF PUSH","","CARD1","","","1","","","","","","",""
"","USBLC6-2SC6","","D1","","","1","","","","","","",""
"","1N5819HW-7-F","DIODE SCHOTTKY 40V 1A SOD123","D2, D3","CMP-0303-00003-3","Up to date","2","Diodes Inc.","1N5819HW-7-F","Volume Production","Avnet","51R7874","0.312","0.624"
"","LTST-C170KFKT","LED ORANGE CLEAR SMD","D5","CMP-22017-000036-1","Up to date","1","Lite-On","LTST-C170KFKT","Volume Production","DigiKey","160-1413-1-ND","0.13","0.13"
"","SS34LWHRVG","DIODE SCHOTTKY 40V 3A SOD123W","D6, D9","CMP-15604-000001-1","Up to date","2","Taiwan Semiconductor","SS34LWHRVG","Volume Production","","","",""
"","LTST-C170KRKT","LED Red, 75 mW, 54 mcd, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS8, DS9","CMP-2000-07593-1","Up to date","9","Lite-On","LTST-C170KRKT","Volume Production","Mouser","859-LTST-C170KRKT","0.111","1.11"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","DS10","CMP-2000-06620-1","Up to date","1","Lite-On","LTST-C170KGKT","Volume Production","DigiKey","160-1414-1-ND","0.14","0.14"
"","BLM31PG121SN1L","Chip Ferrite Bead Array, 1206, 120O @ 100MHz, 0.02O, 25%, 3.5A","FB1","CMP-0686-00732-3","Up to date","1","Murata","BLM31PG121SN1L","Volume Production","DigiKey","490-1056-1-ND","0.3","0.3"
"","BQ25185DLHR","Integrated Circuit","IC1","","","1","","","","","","",""
"","TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J1","","","1","","","","","","",""
"","J1B1211CCD","CONN JACK 1PORT 100 BASE-T PCB","J2","CMP-240752-000001-1","Up to date","1","WIZnet","J1B1211CCD","Unknown","","","",""
"","72454-010VLF","Connector","J3","","","1","","","","","","",""
